row_num,nospace,hate_speech,offensive_language,count_words,total_rating,hate_out_tot,offense_out_tot,count_perc,log_count,pos_log
0,anal,3,30,10,33,0.09090909090909091,0.9090909090909091,0.000896780557797507,-7.016699365971316,7.016699365971316
1,anus,0,15,4,15,0.0,1.0,0.0003587122231190028,-7.9329900978454715,7.9329900978454715
2,apeshit,0,0,0,0,,,0.0,-inf,inf
3,ass,793,5362,1923,6155,0.12883834281072298,0.871161657189277,0.17245090126446058,-1.7576427133765822,1.7576427133765822
4,asshole,29,110,44,139,0.20863309352517986,0.7913669064748201,0.003945834454309031,-5.535094825047101,5.535094825047101
5,bangbus,0,0,0,0,,,0.0,-inf,inf
6,bastard,11,13,8,24,0.4583333333333333,0.5416666666666666,0.0007174244462380056,-7.239842917285526,7.239842917285526
7,bbw,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
8,bdsm,0,0,0,0,,,0.0,-inf,inf
9,beaner,42,34,28,76,0.5526315789473685,0.4473684210526316,0.0025109855618330196,-5.987079948790158,5.987079948790158
10,beaners,14,13,10,27,0.5185185185185185,0.48148148148148145,0.000896780557797507,-7.016699365971316,7.016699365971316
11,bimbos,0,0,0,0,,,0.0,-inf,inf
12,bitch,2023,32501,10651,34524,0.05859691808596918,0.9414030819140308,0.9551609721101246,-0.04587539552219615,0.04587539552219615
13,bitches,527,8940,2921,9467,0.05566705397697264,0.9443329460230273,0.2619496009326518,-1.3396031565776207,1.3396031565776207
14,blowjob,0,0,0,0,,,0.0,-inf,inf
15,bondage,0,0,0,0,,,0.0,-inf,inf
16,boner,0,12,4,12,0.0,1.0,0.0003587122231190028,-7.9329900978454715,7.9329900978454715
17,boob,4,55,17,59,0.06779661016949153,0.9322033898305084,0.001524526948255762,-6.486071114909146,6.486071114909146
18,boobs,3,38,11,41,0.07317073170731707,0.926829268292683,0.0009864586135772577,-6.921389186166992,6.921389186166992
19,bukkake,0,0,0,0,,,0.0,-inf,inf
20,busty,0,0,0,0,,,0.0,-inf,inf
21,butt,27,173,63,200,0.135,0.865,0.005649717514124294,-5.176149732573829,5.176149732573829
22,camgirl,0,0,0,0,,,0.0,-inf,inf
23,camslut,0,0,0,0,,,0.0,-inf,inf
24,cialis,1,2,1,3,0.3333333333333333,0.6666666666666666,8.96780557797507e-05,-9.319284458965361,9.319284458965361
25,clit,1,11,4,12,0.08333333333333333,0.9166666666666666,0.0003587122231190028,-7.9329900978454715,7.9329900978454715
26,cock,20,132,48,152,0.13157894736842105,0.868421052631579,0.004304546677428033,-5.448083448057471,5.448083448057471
27,cocks,4,20,8,24,0.16666666666666666,0.8333333333333334,0.0007174244462380056,-7.239842917285526,7.239842917285526
28,coon,91,92,62,183,0.4972677595628415,0.5027322404371585,0.005560039458344543,-5.192150073920271,5.192150073920271
29,coons,37,26,21,63,0.5873015873015873,0.4126984126984127,0.0018832391713747645,-6.274762021241939,6.274762021241939
30,cum,13,139,50,152,0.08552631578947369,0.9144736842105263,0.004483902788987535,-5.407261453537216,5.407261453537216
31,cumming,0,9,3,9,0.0,1.0,0.0002690341673392521,-8.220672170297252,8.220672170297252
32,cumshot,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
33,cunt,152,723,276,875,0.1737142857142857,0.8262857142857143,0.024751143395211193,-3.698883593248212,3.698883593248212
34,darkie,9,8,6,17,0.5294117647058824,0.47058823529411764,0.0005380683346785041,-7.527524989737307,7.527524989737307
35,dick,103,1013,347,1116,0.09229390681003584,0.9077060931899642,0.03111828535557349,-3.4699596790185026,3.4699596790185026
36,dildo,1,17,6,18,0.05555555555555555,0.9444444444444444,0.0005380683346785041,-7.527524989737307,7.527524989737307
37,dolcett,0,0,0,0,,,0.0,-inf,inf
38,dommes,0,0,0,0,,,0.0,-inf,inf
39,dvda,0,0,0,0,,,0.0,-inf,inf
40,ecchi,0,0,0,0,,,0.0,-inf,inf
41,erotic,0,0,0,0,,,0.0,-inf,inf
42,erotism,0,0,0,0,,,0.0,-inf,inf
43,escort,1,14,4,15,0.06666666666666667,0.9333333333333333,0.0003587122231190028,-7.9329900978454715,7.9329900978454715
44,eunuch,0,0,0,0,,,0.0,-inf,inf
45,fag,1116,1417,820,2533,0.4405842874062377,0.5594157125937623,0.07353600573939557,-2.609980118707063,2.609980118707063
46,faggot,767,881,533,1648,0.4654126213592233,0.5345873786407767,0.04779840373060712,-3.040763034799517,3.040763034799517
47,fecal,0,0,0,0,,,0.0,-inf,inf
48,felch,0,0,0,0,,,0.0,-inf,inf
49,feltch,0,0,0,0,,,0.0,-inf,inf
50,femdom,0,0,0,0,,,0.0,-inf,inf
51,figging,0,0,0,0,,,0.0,-inf,inf
52,fisting,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
53,footjob,0,0,0,0,,,0.0,-inf,inf
54,fuck,919,5904,2126,6823,0.13469148468415654,0.8653085153158435,0.19065554658774997,-1.6572869000634687,1.6572869000634687
55,fuckin,418,2156,809,2574,0.1623931623931624,0.8376068376068376,0.0725495471258183,-2.62348554190687,2.62348554190687
56,fucking,312,1483,570,1795,0.17381615598885794,0.8261838440111421,0.051116491794457895,-2.973648098136766,2.973648098136766
57,gaysex,0,0,0,0,,,0.0,-inf,inf
58,girlon,0,0,0,0,,,0.0,-inf,inf
59,goatcx,0,0,0,0,,,0.0,-inf,inf
60,goatse,0,0,0,0,,,0.0,-inf,inf
61,gokkun,0,0,0,0,,,0.0,-inf,inf
62,grope,0,0,0,0,,,0.0,-inf,inf
63,guro,0,0,0,0,,,0.0,-inf,inf
64,handjob,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
65,hentai,3,3,2,6,0.5,0.5,0.0001793561115595014,-8.626137278405416,8.626137278405416
66,honkey,12,18,10,30,0.4,0.6,0.000896780557797507,-7.016699365971316,7.016699365971316
67,hooker,3,17,7,20,0.15,0.85,0.0006277463904582549,-7.373374309910049,7.373374309910049
68,horny,1,39,13,40,0.025,0.975,0.001165814725136759,-6.754335101503825,6.754335101503825
69,humping,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
70,incest,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
71,jigaboo,4,2,2,6,0.6666666666666666,0.3333333333333333,0.0001793561115595014,-8.626137278405416,8.626137278405416
72,jizz,0,6,2,6,0.0,1.0,0.0001793561115595014,-8.626137278405416,8.626137278405416
73,juggs,0,0,0,0,,,0.0,-inf,inf
74,kike,13,8,7,21,0.6190476190476191,0.38095238095238093,0.0006277463904582549,-7.373374309910049,7.373374309910049
75,kinbaku,0,0,0,0,,,0.0,-inf,inf
76,kinky,1,14,5,15,0.06666666666666667,0.9333333333333333,0.0004483902788987535,-7.709846546531262,7.709846546531262
77,livesex,0,0,0,0,,,0.0,-inf,inf
78,lolita,0,0,0,0,,,0.0,-inf,inf
79,milf,2,7,3,9,0.2222222222222222,0.7777777777777778,0.0002690341673392521,-8.220672170297252,8.220672170297252
80,mong,11,7,6,18,0.6111111111111112,0.3888888888888889,0.0005380683346785041,-7.527524989737307,7.527524989737307
81,nambla,0,0,0,0,,,0.0,-inf,inf
82,nawashi,0,0,0,0,,,0.0,-inf,inf
83,negro,38,105,46,143,0.26573426573426573,0.7342657342657343,0.004125190565868532,-5.490643062476267,5.490643062476267
84,neonazi,0,0,0,0,,,0.0,-inf,inf
85,nigga,1235,5177,1931,6412,0.19260761072988147,0.8073923892701186,0.1731683257106986,-1.7534911765368473,1.7534911765368473
86,nigger,486,468,313,954,0.5094339622641509,0.49056603773584906,0.02806923145906197,-3.5730812684252085,3.5730812684252085
87,nignog,0,0,0,0,,,0.0,-inf,inf
88,nipple,2,53,17,55,0.03636363636363636,0.9636363636363636,0.001524526948255762,-6.486071114909146,6.486071114909146
89,nipples,2,29,9,31,0.06451612903225806,0.9354838709677419,0.0008071025020177562,-7.122059881629142,7.122059881629142
90,nsfw,0,0,0,0,,,0.0,-inf,inf
91,nude,10,112,41,122,0.08196721311475409,0.9180327868852459,0.0036768002869697787,-5.605712392261054,5.605712392261054
92,nudity,0,0,0,0,,,0.0,-inf,inf
93,nutten,0,0,0,0,,,0.0,-inf,inf
94,nympho,0,0,0,0,,,0.0,-inf,inf
95,orgasm,0,2,1,2,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
96,orgy,0,0,0,0,,,0.0,-inf,inf
97,paki,0,0,0,0,,,0.0,-inf,inf
98,panties,1,70,22,71,0.014084507042253521,0.9859154929577465,0.0019729172271545155,-6.228242005607046,6.228242005607046
99,panty,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
100,pegging,0,0,0,0,,,0.0,-inf,inf
101,penis,4,48,17,52,0.07692307692307693,0.9230769230769231,0.001524526948255762,-6.486071114909146,6.486071114909146
102,pikey,0,0,0,0,,,0.0,-inf,inf
103,pissing,1,14,5,15,0.06666666666666667,0.9333333333333333,0.0004483902788987535,-7.709846546531262,7.709846546531262
104,pisspig,0,0,0,0,,,0.0,-inf,inf
105,playboy,0,0,0,0,,,0.0,-inf,inf
106,poof,0,0,0,0,,,0.0,-inf,inf
107,poon,1,8,3,9,0.1111111111111111,0.8888888888888888,0.0002690341673392521,-8.220672170297252,8.220672170297252
108,punany,0,0,0,0,,,0.0,-inf,inf
109,porn,11,204,72,215,0.05116279069767442,0.9488372093023256,0.00645682001614205,-5.042618339949307,5.042618339949307
110,porno,2,10,4,12,0.16666666666666666,0.8333333333333334,0.0003587122231190028,-7.9329900978454715,7.9329900978454715
111,pthc,0,0,0,0,,,0.0,-inf,inf
112,pubes,0,0,0,0,,,0.0,-inf,inf
113,pussy,359,6180,2060,6539,0.05490136106438293,0.9450986389356171,0.18473679490628644,-1.688823197181735,1.688823197181735
114,queaf,0,0,0,0,,,0.0,-inf,inf
115,queef,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
116,quim,0,0,0,0,,,0.0,-inf,inf
117,raghead,5,2,3,7,0.7142857142857143,0.2857142857142857,0.0002690341673392521,-8.220672170297252,8.220672170297252
118,rape,25,85,34,110,0.22727272727272727,0.7727272727272727,0.003049053896511524,-5.792923934349201,5.792923934349201
119,raping,6,9,5,15,0.4,0.6,0.0004483902788987535,-7.709846546531262,7.709846546531262
120,rapist,5,7,4,12,0.4166666666666667,0.5833333333333334,0.0003587122231190028,-7.9329900978454715,7.9329900978454715
